partido, filosofia
Avante, G
CIDADANIA, O
DC, G
DEM, G
MDB, G
NOVO, G
Patriota, G
PCdoB, O
PDT, O
PEN, G
PHS, G
PL, G
PMDB, O
PMN, G
Podemos, G
PP, G
PPL, O
PPS, O
PR, G
PRB, G
PROS, G
PRP, G
PSB, O
PSC, G
PSD, G
PSDB, G
PSL, G
PSOL, O
PT, O
PTB, G
PTC, G
PV, O
REDE, O
Republican, G
Solidaried, G
